Chromosome,Start,End,Length,Mutations,P_value,Per_site_mutation_probability,Cluster_P_value_Threshold
chr_8_AM_1003_v1,522157,536494,14337,11,8.026071914353345e-11,4.356740876210165e-05,1e-05
chr_3_AM_1003_v1,121414,142671,21257,12,3.5557015516412355e-10,4.356740876210165e-05,1e-05
chr_2_AM_1003_v1,6831,7821,990,4,1.4072837328302904e-07,4.356740876210165e-05,1e-05
chr_2_AM_1003_v1,197550,197568,18,3,1.0992118408359428e-10,4.356740876210165e-05,1e-05
chr_2_AM_1003_v1,412233,412260,27,6,7.566636832515387e-21,4.356740876210165e-05,1e-05
chr_2_AM_1003_v1,469931,473270,3339,5,4.831727791604175e-07,4.356740876210165e-05,1e-05
chr_2_AM_1003_v1,793617,793650,33,3,5.898140513994036e-10,4.356740876210165e-05,1e-05
chr_9_AM_1003_v1,19498,20537,1039,7,7.629386233176644e-14,4.356740876210165e-05,1e-05
chr_9_AM_1003_v1,385827,386205,378,3,7.4699847034703e-07,4.356740876210165e-05,1e-05
chr_9_AM_1003_v1,430668,433353,2685,4,7.132897231954253e-06,4.356740876210165e-05,1e-05
chr_10_AM_1003_v1,140,337,197,4,2.3615568735862233e-10,4.356740876210165e-05,1e-05
chr_10_AM_1003_v1,141798,141808,10,3,2.3643366546093602e-11,4.356740876210165e-05,1e-05
chr_10_AM_1003_v1,519279,520449,1170,4,2.7238985534535177e-07,4.356740876210165e-05,1e-05
chr_10_AM_1003_v1,708672,708882,210,4,3.038568685258733e-10,4.356740876210165e-05,1e-05
chr_7_AM_1003_v1,134703,134735,32,3,5.406805462555194e-10,4.356740876210165e-05,1e-05
chr_7_AM_1003_v1,273185,273212,27,4,1.1325723707601334e-13,4.356740876210165e-05,1e-05
chr_15_AM_1003_v1,30482,30599,117,13,5.304885866872338e-40,4.356740876210165e-05,1e-05
chr_15_AM_1003_v1,736941,736998,57,4,1.8764370047477198e-12,4.356740876210165e-05,1e-05
chr_12_AM_1003_v1,1061823,1062053,230,3,1.708152734866241e-07,4.356740876210165e-05,1e-05
chr_5_AM_1003_v1,31598,33932,2334,4,4.125045646507147e-06,4.356740876210165e-05,1e-05
chr_5_AM_1003_v1,132532,142924,10392,8,2.9412768865940392e-08,4.356740876210165e-05,1e-05
chr_5_AM_1003_v1,431474,431621,147,3,4.5371948635188016e-08,4.356740876210165e-05,1e-05
chr_4_AM_1003_v1,1502891,1502906,15,3,6.74469767291227e-11,4.356740876210165e-05,1e-05
chr_1_AM_1003_v1,2124,2138,14,3,5.6207650501183194e-11,4.356740876210165e-05,1e-05
chr_1_AM_1003_v1,188166,192003,3837,27,9.1378361780605e-50,4.356740876210165e-05,1e-05
chr_14_AM_1003_v1,642247,642298,51,3,2.0477795889719954e-09,4.356740876210165e-05,1e-05
chr_16_AM_1003_v1,381892,386781,4889,5,3.070211398431086e-06,4.356740876210165e-05,1e-05
chr_16_AM_1003_v1,942733,943416,683,6,9.691675504982101e-13,4.356740876210165e-05,1e-05
