Chromosome,Start,End,Length,Mutations,P_value,Per_site_mutation_probability,Cluster_P_value_Threshold
chr_3_AM_1003_v1,82842,144365,61523,57,2.3052640531485308e-62,3.072910389874471e-05,1e-05
chr_2_AM_1003_v1,173,8244,8071,11,4.395275762677439e-15,3.072910389874471e-05,1e-05
chr_10_AM_1003_v1,1892,11919,10027,10,1.6155464341428347e-12,3.072910389874471e-05,1e-05
chr_10_AM_1003_v1,731413,738625,7212,9,2.9299499759220895e-12,3.072910389874471e-05,1e-05
chr_7_AM_1003_v1,534915,534939,24,3,8.482724079239642e-11,3.072910389874471e-05,1e-05
chr_15_AM_1003_v1,564601,566407,1806,5,4.223655644381376e-09,3.072910389874471e-05,1e-05
chr_12_AM_1003_v1,11871,12520,649,8,6.443530830827584e-19,3.072910389874471e-05,1e-05
chr_12_AM_1003_v1,652186,652442,256,4,1.648471534271691e-10,3.072910389874471e-05,1e-05
chr_12_AM_1003_v1,805709,805728,19,3,4.466632645000593e-11,3.072910389874471e-05,1e-05
chr_5_AM_1003_v1,30211,33803,3592,12,6.3020349815800815e-21,3.072910389874471e-05,1e-05
chr_5_AM_1003_v1,115963,116333,370,4,7.088201606564426e-10,3.072910389874471e-05,1e-05
chr_1_AM_1003_v1,15738,15822,84,4,2.0749653758785023e-12,3.072910389874471e-05,1e-05
chr_1_AM_1003_v1,190857,191940,1083,16,1.1882126793159837e-37,3.072910389874471e-05,1e-05
chr_16_AM_1003_v1,932174,932194,20,4,9.470128385022417e-15,3.072910389874471e-05,1e-05
