Chromosome,Start,End,Length,Mutations,P_value,Per_site_mutation_probability,Cluster_P_value_Threshold
chr_8_AM_1003_v1,5612,5636,24,4,7.493391104177891e-16,1.3832238143100716e-05,0.001
chr_6_AM_1003_v1,7412,15280,7868,7,3.274057672224962e-11,1.3832238143100716e-05,0.001
chr_10_AM_1003_v1,720425,722876,2451,3,6.3472434507333965e-06,1.3832238143100716e-05,0.001
chr_7_AM_1003_v1,524444,524452,8,3,4.3664176379703874e-13,1.3832238143100716e-05,0.001
chr_7_AM_1003_v1,621572,626160,4588,6,8.632545783588058e-11,1.3832238143100716e-05,0.001
chr_12_AM_1003_v1,348895,356288,7393,3,0.00016524081354507602,1.3832238143100716e-05,0.001
chr_4_AM_1003_v1,542236,547227,4991,6,1.4232817006748838e-10,1.3832238143100716e-05,0.001
chr_4_AM_1003_v1,1523136,1523166,30,3,1.4434992779054458e-11,1.3832238143100716e-05,0.001
chr_1_AM_1003_v1,188197,193548,5351,8,2.1059953057965534e-14,1.3832238143100716e-05,0.001
chr_16_AM_1003_v1,943429,945976,2547,3,7.114923707156067e-06,1.3832238143100716e-05,0.001
