Chromosome,Start,End,Length,Mutations,P_value,Per_site_mutation_probability,Cluster_P_value_Threshold
chr_8_AM_1003_v1,5041,5085,44,5,6.785350417716539e-17,3.2385659364984313e-05,1e-05
chr_8_AM_1003_v1,514742,530826,16084,7,1.3132358843473006e-06,3.2385659364984313e-05,1e-05
chr_3_AM_1003_v1,124132,141341,17209,10,4.821050449087608e-10,3.2385659364984313e-05,1e-05
chr_2_AM_1003_v1,404201,412260,8059,6,3.521065226797659e-07,3.2385659364984313e-05,1e-05
chr_2_AM_1003_v1,470277,473588,3311,5,1.0853920950643873e-07,3.2385659364984313e-05,1e-05
chr_6_AM_1003_v1,10436,16736,6300,6,8.442336852736816e-08,3.2385659364984313e-05,1e-05
chr_10_AM_1003_v1,736977,738625,1648,9,9.48432135079525e-18,3.2385659364984313e-05,1e-05
chr_7_AM_1003_v1,136,1591,1455,4,1.9919323657417514e-07,3.2385659364984313e-05,1e-05
chr_7_AM_1003_v1,565682,565741,59,3,1.2827954316725479e-09,3.2385659364984313e-05,1e-05
chr_15_AM_1003_v1,672746,681088,8342,6,4.2970915806681106e-07,3.2385659364984313e-05,1e-05
chr_15_AM_1003_v1,714325,714351,26,4,3.012646886668869e-14,3.2385659364984313e-05,1e-05
chr_12_AM_1003_v1,252865,252871,6,3,2.852819039592206e-12,3.2385659364984313e-05,1e-05
chr_12_AM_1003_v1,1062029,1063017,988,3,5.362881954845936e-06,3.2385659364984313e-05,1e-05
chr_11_AM_1003_v1,647,1094,447,3,5.069092707182187e-07,3.2385659364984313e-05,1e-05
chr_5_AM_1003_v1,31416,31805,389,3,3.35221769096845e-07,3.2385659364984313e-05,1e-05
chr_4_AM_1003_v1,820909,823437,2528,6,3.931843737234099e-10,3.2385659364984313e-05,1e-05
chr_1_AM_1003_v1,188370,195568,7198,6,1.831162252144499e-07,3.2385659364984313e-05,1e-05
chr_16_AM_1003_v1,937605,943422,5817,5,1.6950060159738767e-06,3.2385659364984313e-05,1e-05
